,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_silhouette,split1_test_silhouette,split2_test_silhouette,split3_test_silhouette,split4_test_silhouette,split5_test_silhouette,split6_test_silhouette,split7_test_silhouette,split8_test_silhouette,split9_test_silhouette,mean_test_silhouette,std_test_silhouette,rank_test_silhouette,split0_test_calinski_harabasz,split1_test_calinski_harabasz,split2_test_calinski_harabasz,split3_test_calinski_harabasz,split4_test_calinski_harabasz,split5_test_calinski_harabasz,split6_test_calinski_harabasz,split7_test_calinski_harabasz,split8_test_calinski_harabasz,split9_test_calinski_harabasz,mean_test_calinski_harabasz,std_test_calinski_harabasz,rank_test_calinski_harabasz,split0_test_davies_bouldin,split1_test_davies_bouldin,split2_test_davies_bouldin,split3_test_davies_bouldin,split4_test_davies_bouldin,split5_test_davies_bouldin,split6_test_davies_bouldin,split7_test_davies_bouldin,split8_test_davies_bouldin,split9_test_davies_bouldin,mean_test_davies_bouldin,std_test_davies_bouldin,rank_test_davies_bouldin,split0_test_adjusted_rand_index,split1_test_adjusted_rand_index,split2_test_adjusted_rand_index,split3_test_adjusted_rand_index,split4_test_adjusted_rand_index,split5_test_adjusted_rand_index,split6_test_adjusted_rand_index,split7_test_adjusted_rand_index,split8_test_adjusted_rand_index,split9_test_adjusted_rand_index,mean_test_adjusted_rand_index,std_test_adjusted_rand_index,rank_test_adjusted_rand_index,split0_test_adjusted_mutual_info,split1_test_adjusted_mutual_info,split2_test_adjusted_mutual_info,split3_test_adjusted_mutual_info,split4_test_adjusted_mutual_info,split5_test_adjusted_mutual_info,split6_test_adjusted_mutual_info,split7_test_adjusted_mutual_info,split8_test_adjusted_mutual_info,split9_test_adjusted_mutual_info,mean_test_adjusted_mutual_info,std_test_adjusted_mutual_info,rank_test_adjusted_mutual_info,split0_test_clusters_count,split1_test_clusters_count,split2_test_clusters_count,split3_test_clusters_count,split4_test_clusters_count,split5_test_clusters_count,split6_test_clusters_count,split7_test_clusters_count,split8_test_clusters_count,split9_test_clusters_count,mean_test_clusters_count,std_test_clusters_count,rank_test_clusters_count,algo_name
0,4.835796594619751,1.8811501134519153,26.469089531898497,11.099848413486484,"{'cluster_algo': KMeans(init='random', n_clusters=3, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 2, 'reduce_dim': 'passthrough'}",0.05074419476530491,0.06335237583403859,0.06479462416931886,0.06132318797744535,0.08046941648209442,0.05331185747955725,0.053682922905967545,0.06798126583848725,0.052256957994894083,0.0722436037651121,0.062016040721222035,0.009263899077954815,2,59.23206436955765,59.17507600676219,59.48187857382367,54.69642198821621,56.61046459190347,59.655295778031366,56.683287781553,57.268130310270635,57.91703725190069,59.483391543419515,58.02030481954383,1.585930815756758,3,4.1605021309210315,4.083816112810998,4.068751791252788,4.088706164522749,2.5790136198593987,4.133169433394348,4.225216730259026,3.982986151793156,4.183285990326138,2.8554800602885284,3.8360928185428165,0.5664092257097669,2,0.1388577878752742,0.2599512132759359,0.2545950205886119,0.21961459499263397,0.09945490756474229,0.16848381296827789,0.2195266051016214,0.2129049439927655,0.16559958329207838,0.11470125226921095,0.18536897219211523,0.05354145451667361,31,0.17563007218712895,0.29571247505567194,0.28538904100214424,0.28249562209765283,0.22669499092020975,0.19923745446567281,0.2534979398587759,0.2708596774753921,0.18432874800148233,0.21887225485903536,0.2392718275923166,0.04198440239739349,35,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,35,KMeans
1,6.197494769096375,1.8758204228909008,34.57895050048828,10.869717423151707,"{'cluster_algo': KMeans(init='random', n_clusters=3, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 3, 'reduce_dim': 'passthrough'}",0.05232530798573699,0.04094925703748705,0.0746990883407956,0.06625343899428156,0.06983224289917629,0.042405200529475426,0.052568275991502794,0.07220961544832405,0.07138612636109389,0.0681630689287622,0.061079162251663585,0.012133380643523917,3,51.46908843965582,47.4714126413298,59.12639109975674,57.55642255171224,57.40424307187164,47.77908933172307,49.967340122599516,59.993554270119624,57.83520978532891,58.824347570657665,54.742709888475495,4.721192815448204,4,3.7623095906117263,3.9860703258278236,3.3455117049093226,3.387001953907106,3.3909227963410014,3.999481226334602,3.755072173690715,3.3198749491166857,3.3640732073576403,3.3983929237924797,3.57087108518891,0.2606079503811892,32,0.19403852666298868,0.20997881546906896,0.3306570991881682,0.3318183547129951,0.3292633101868343,0.20054464748829665,0.20622564091524961,0.3104981884116577,0.3177963959266289,0.33006211976239797,0.2760883098724286,0.0603640764663834,4,0.23731648217795925,0.2677187646970423,0.39729617728251165,0.3949268659143234,0.4017970099795396,0.24866528585572795,0.254984382011383,0.3649182623509162,0.38395567959484683,0.3930411444455012,0.33446200543097515,0.06820303572764234,34,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,33,KMeans
2,6.313361501693725,2.408668218546969,34.90287294387817,14.620673531394797,"{'cluster_algo': KMeans(init='random', n_clusters=3, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 4, 'reduce_dim': 'passthrough'}",0.06297646910732893,0.05914313314362418,0.0581937634314604,0.054320278019643974,0.06358230105783332,0.05761292410226664,0.06380345930909001,0.06307800116612021,0.06646421636452586,0.0500309261557313,0.059920547185762486,0.004782176560940903,5,54.04778685070319,51.85652992511328,52.14147756737614,52.553805825619754,38.75415508370492,51.88715146263867,52.59393926443295,53.37502997442183,53.115677870560944,52.47477396543,51.280032779000166,4.225351636232749,6,3.2392386986855093,3.3584993680694444,3.3962832809448793,3.3880387931939584,2.7487124668727603,3.364242250595852,3.2703415446987334,3.2818815058453126,3.194313870274099,3.5456847316719595,3.278723651085251,0.2000979862479089,36,0.2861436526854259,0.29363454243642834,0.2922802215022263,0.20825644501564544,0.33486605015095283,0.29537143811760797,0.2983019519907906,0.29620653844740513,0.2774814932726491,0.2646765250623694,0.28472188586815006,0.03063324067182421,2,0.3506941248436748,0.3757264680971286,0.36898468807865337,0.3489105118411832,0.3940185156690673,0.36223463255077654,0.3831781094463256,0.3501240633097019,0.3512708869865385,0.36751064752653273,0.36526526483495825,0.014798687290289143,12,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,31,KMeans
3,6.477498173713684,1.6036517752821986,35.748746156692505,9.462063289194719,"{'cluster_algo': KMeans(init='random', n_clusters=3, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 5, 'reduce_dim': 'passthrough'}",0.03794516373058274,0.04258763532327891,0.04121390585447929,0.047405314869732526,0.05223546211505995,0.03609349102290417,0.04549101475375125,0.03914288466902694,0.03876228877204434,0.03756960140614178,0.04184467625170019,0.004863066536152715,7,47.72771296308465,44.93887910055127,44.41841896617778,47.54757077538492,40.26531060659911,46.135364775246195,46.1349222371245,47.19369629410487,46.667054653529675,45.46225908669947,45.64911894585025,2.0702269559215534,8,3.5066018108463695,3.673525597628141,3.6769862763498784,3.4992574399594667,2.8565587953522344,3.518240722084316,3.568983306409737,3.512831260379111,3.623383222940999,3.636034179246009,3.507240261119626,0.22670610043683542,33,0.2497962121422445,0.23285437493402955,0.26125372618881715,0.2139546430968891,0.2629437728576112,0.25319596615477724,0.256745754977519,0.25461427959943667,0.21964769781310284,0.23699604496389204,0.24420024727283196,0.016487795836171177,13,0.35401671011274916,0.3522688825339469,0.3468118505691915,0.3390823518648591,0.3713300950044963,0.3510506846759272,0.35233266526915696,0.35893791212062115,0.3296470704443989,0.3659436598554706,0.35214218824508176,0.011465591757559254,25,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,29,KMeans
4,6.104028296470642,0.9097410993284052,34.62742800712586,6.267521625518364,"{'cluster_algo': KMeans(init='random', n_clusters=3, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 6, 'reduce_dim': 'passthrough'}",0.0374310530037354,0.03984354423271543,0.036289401136684905,0.04278629848998281,0.03752933233588919,0.03046515321165793,0.032887352321493084,0.04086598727414038,0.04163797717635578,0.04237878868893495,0.038211488787158986,0.003909821536719023,9,40.624882936492874,39.97967505471049,39.54990126621172,41.943530175266865,37.29445551665192,40.38993379108794,40.434909984229535,41.223212429335575,40.369013309322554,41.47294883665437,40.32824632999639,1.214763245279521,10,3.2578387608962056,3.787198779563395,3.705873171680111,3.730631140419377,3.159460394935182,3.6993895832685784,3.7338004867129815,3.7258153337877964,3.7678093729975153,3.6551275686688016,3.622294459292995,0.21078553713173903,21,0.2526326936590159,0.25034394409515887,0.24523534578812392,0.2417921637672721,0.23477115684330627,0.24082588401741206,0.23337327347960724,0.3364466981969958,0.2933398800742777,0.24785391354517616,0.25766149534663463,0.030754914067809915,6,0.35556477254281044,0.3653970039744999,0.3462311095341834,0.3544326317537889,0.35012998459900846,0.35499974532520584,0.33592429569240284,0.38908512185712035,0.3807386479820343,0.36069048081449406,0.3593193794075549,0.014977704331754813,18,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,27,KMeans
5,6.334751915931702,2.0520055833853115,37.91177539825439,12.940305070906906,"{'cluster_algo': KMeans(init='random', n_clusters=3, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 7, 'reduce_dim': 'passthrough'}",0.03496322434327552,0.03113835249483206,0.02492564949688225,0.034121351997701686,0.03400863067587125,0.031191527177251915,0.037602590922147086,0.03152163306708217,0.034640765452531946,0.028646169381974153,0.032275989500955005,0.003432723549527189,11,36.82463910169916,36.45247597038397,34.98775249504421,37.984719664565965,34.96967990334798,35.590040175290916,35.30559057583716,37.38237115258638,35.1813014957039,37.12926954494123,36.18078400794009,1.0530902474213453,12,3.5325891556345224,3.7342743796616427,3.915016525567538,3.7999468594121817,3.278544473233672,3.6812989666963616,3.6561802264917906,3.7471809090188857,3.6585431125613512,3.5480134070934106,3.6551588015371363,0.16500138558330563,14,0.24485309771148708,0.2886368707827381,0.2167539156451768,0.2710643744955295,0.2738342200284012,0.22748251120680424,0.22656371180131202,0.24872293227164397,0.29750013039511486,0.27058315840458413,0.25659949227427925,0.026341416157778137,8,0.3494637228929146,0.399723926515859,0.3306853777989879,0.37544693762162773,0.3910861081938761,0.34431286448061627,0.34770128688195223,0.3456137911237172,0.3713630600960523,0.37461231059390127,0.3630009386199504,0.021471363610768138,13,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,25,KMeans
6,5.496491885185241,1.2436362571211261,33.20516202449799,6.970274569991213,"{'cluster_algo': KMeans(init='random', n_clusters=3, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 8, 'reduce_dim': 'passthrough'}",0.02995356790705062,0.0302120983962046,0.031329619968479425,0.031831734376272756,0.03350867796254316,0.034460159875851104,0.02078576906030502,0.03248127535939012,0.026254029831209905,0.030648599895957095,0.030146553263326374,0.0037771828639536166,14,33.983136322496804,33.55884002317145,32.409927083930846,34.49012150972737,31.98757934194855,32.781792817626666,32.03650048921801,34.16584057981131,34.35715257047305,33.879662318599564,33.36505530570036,0.9214471238409514,14,3.5022244214314813,3.6310410045126575,3.704813296337592,3.88047415994252,3.1584645337372885,3.812827838277169,3.7002985445427687,3.5438602768940153,3.605699798131219,3.6222419119645117,3.6161945785771223,0.18749412232526722,24,0.24490253925876032,0.26979131114003335,0.24384233173163536,0.2428443492528245,0.22314234719387085,0.23525881010094749,0.21772278215926966,0.2989909935766075,0.24857703415361146,0.2703374644170926,0.24954099629846532,0.02302369041348672,10,0.37580248629482516,0.3878324825343353,0.34882331080647655,0.3853884605650312,0.3388186163093646,0.3781635558225133,0.3376762701260429,0.3975163237992517,0.37771068201600555,0.36808730886863816,0.3695819497142484,0.019847373703644314,7,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,23,KMeans
7,6.580165863037109,1.505911610951921,39.03972270488739,8.75918727194276,"{'cluster_algo': KMeans(init='random', n_clusters=3, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 9, 'reduce_dim': 'passthrough'}",0.023560044563860127,0.024374933362186362,0.030314518131144566,0.02695335035069145,0.03114496652392965,0.02616588270198593,0.023419930711851233,0.028924770610961322,0.024068879113231124,0.02269824620720325,0.0261625522277045,0.002901619886970627,16,31.750142776678047,29.998776838941847,30.398191955093935,31.69741707365845,29.920330745927426,31.027107918157668,31.198278463275166,31.250975752500146,31.19386328158863,30.885350158963995,30.93204349647853,0.6072063825613999,16,3.4950925582109633,3.8737522171198884,3.7815490445400375,3.9096857142696586,3.261919876169575,3.508589355400409,3.521049025393413,3.59816874370109,3.871534310476674,3.635898503893208,3.645723934917492,0.19945290997816445,15,0.22822834529651095,0.2433131370804639,0.2676537092565841,0.23984095855598808,0.240896672940518,0.2448442798360409,0.23564981311314345,0.27442801708949704,0.24332248583283717,0.23890251218747435,0.24570799311890576,0.013524853991490686,12,0.3646445664331686,0.38135067981109994,0.38989983578327314,0.3853535086976349,0.3518350856001949,0.38453211138182747,0.3730204238633401,0.3728217122741259,0.3903015581596542,0.3710438602705064,0.3764803342274825,0.011579202400019025,5,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,21,KMeans
8,6.6802363157272335,1.031755851684181,39.51774415969849,6.589616060455127,"{'cluster_algo': KMeans(init='random', n_clusters=3, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 10, 'reduce_dim': 'passthrough'}",0.021662802785774204,0.017897634957405602,0.023433134755822378,0.02419530543815003,0.02880113188179435,0.02338067870829791,0.023327562432276933,0.023741889882459115,0.020498360800592627,0.02601360706751675,0.02329521087100899,0.002799336761024495,19,29.537630952418322,26.98392289145707,27.15844001617066,28.900503413870403,27.827270305982175,28.028767495093,29.006889139448234,29.204479294166227,29.15098996105143,28.678134128524253,28.447702759818178,0.8480198489139696,18,3.6626810419011298,4.017937578378571,3.770381084543991,3.844044532380733,3.074694340467354,3.6979136914718915,3.6758932666488855,3.569984749876826,3.756754174655346,3.6128855164261986,3.6683169976750927,0.23182920358734174,10,0.2203185816248419,0.22873717204303262,0.26421045353805095,0.2008895513207282,0.2487325298288226,0.216045408262426,0.22289664662204495,0.2412257663972842,0.23873050848768038,0.21752181426825953,0.22993084323931715,0.01751311161842405,17,0.35856311330195934,0.3725180108059844,0.3716245020567087,0.34472925009789906,0.35695043944527194,0.366973339194272,0.36008157063062163,0.35508323526829577,0.38716488007773764,0.34389062043082347,0.36175789613095743,0.012552846006065887,15,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,19,KMeans
9,6.905300712585449,2.6273934329886566,41.90241112709045,16.53377216447156,"{'cluster_algo': KMeans(init='random', n_clusters=3, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 11, 'reduce_dim': 'passthrough'}",0.017734705444674648,0.017893465696484433,0.017386194430867814,0.021583348219393755,0.030378055068870535,0.018467816015396894,0.024697568399922154,0.0213748605027251,0.019382587594628374,0.02544431935226527,0.021434292072522898,0.004029477586178874,22,26.93373876185954,26.11368877819089,25.375656434448207,26.335048756522227,26.52763351430759,26.34413774299669,27.955018486030276,27.181658051589103,26.947513718578403,26.2830272724435,26.59971215169664,0.662075278867468,20,3.7324999550218805,3.7878986016420835,3.726521286335033,3.58200559022424,3.1656229302096013,3.7651855116973256,3.471058016163772,3.704198699793757,3.6793067731106817,3.6456243425694477,3.6259921706767826,0.17727432669702786,20,0.2328053564040833,0.20061545970538203,0.23582596723184,0.2226029102732276,0.238187901022568,0.20403537023604215,0.24976720704071856,0.21805635263067122,0.23135444271601777,0.21356428024475682,0.22468152475053077,0.014912017238631168,18,0.3641173731699524,0.35417599152762386,0.3539373202397527,0.36938655384215247,0.35597123359640465,0.35897160268742984,0.39102108880891,0.3531215802526458,0.3811494430247119,0.3419160396757323,0.3623768226825316,0.013858139070291733,14,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,0.0,17,KMeans
