,mean_test_adjusted_mutual_info,mean_test_adjusted_rand_index,mean_test_calinski_harabasz,mean_test_clusters_count,mean_test_davies_bouldin,mean_test_fit_time,mean_test_silhouette,params,rank_test_adjusted_mutual_info,rank_test_adjusted_rand_index,rank_test_calinski_harabasz,rank_test_clusters_count,rank_test_davies_bouldin,rank_test_fit_time,rank_test_silhouette,split0_test_adjusted_mutual_info,split0_test_adjusted_rand_index,split0_test_calinski_harabasz,split0_test_clusters_count,split0_test_davies_bouldin,split0_test_fit_time,split0_test_silhouette,split1_test_adjusted_mutual_info,split1_test_adjusted_rand_index,split1_test_calinski_harabasz,split1_test_clusters_count,split1_test_davies_bouldin,split1_test_fit_time,split1_test_silhouette,split2_test_adjusted_mutual_info,split2_test_adjusted_rand_index,split2_test_calinski_harabasz,split2_test_clusters_count,split2_test_davies_bouldin,split2_test_fit_time,split2_test_silhouette,split3_test_adjusted_mutual_info,split3_test_adjusted_rand_index,split3_test_calinski_harabasz,split3_test_clusters_count,split3_test_davies_bouldin,split3_test_fit_time,split3_test_silhouette,split4_test_adjusted_mutual_info,split4_test_adjusted_rand_index,split4_test_calinski_harabasz,split4_test_clusters_count,split4_test_davies_bouldin,split4_test_fit_time,split4_test_silhouette,std_test_adjusted_mutual_info,std_test_adjusted_rand_index,std_test_calinski_harabasz,std_test_clusters_count,std_test_davies_bouldin,std_test_fit_time,std_test_silhouette,algo_name
0,0.48146499585772967,0.3784804165477644,52.512456879660434,10.8,3.0558446917608357,21.930818223953246,0.06867426847899287,"{'cluster_algo': KMeans(init='random', n_clusters=13, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 2, 'reduce_dim': 'passthrough'}",23.0,24.0,5.0,20.0,5.0,23.0,21.0,0.49303322191725624,0.4105389771694367,52.93990134320764,10,3.0845401366339686,18.977866649627686,0.07501544976819204,0.4579092639393013,0.3294800374595032,76.6714733476063,5,3.1300515676231178,21.184588193893433,0.06542669298100448,0.48495533526866935,0.3809444450224057,43.932025275057775,13,3.0812958696058677,25.45073390007019,0.0632417435735242,0.4823461980795283,0.3690087703177609,44.84367906689326,13,3.1306428511460287,23.578991651535034,0.06342429515837857,0.48908096008389307,0.4024298527697154,44.17520536553715,13,2.8526930337951963,20.461910724639893,0.07626316091386512,0.013780949332598935,0.03200838747073267,14.015924050348067,3.492849839314596,0.11602070097293786,2.5758859405054406,0.006430846792246428,KMeans
1,0.47543112669008264,0.36619804793097666,57.134987906020754,9.8,3.1003814491738355,19.188327312469482,0.06588572983766527,"{'cluster_algo': KMeans(init='random', n_clusters=13, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 3, 'reduce_dim': 'passthrough'}",16.0,15.0,10.0,9.0,21.0,5.0,2.0,0.4628638760790211,0.349127134085498,76.05255647500928,5,3.307223923698969,1.840477466583252,0.06107275656155406,0.4579092639393013,0.3294800374595032,76.6714733476063,5,3.1300515676231178,21.15905475616455,0.06542669298100448,0.48495533526866935,0.3809444450224057,43.932025275057775,13,3.0812958696058677,25.18917441368103,0.0632417435735242,0.4823461980795283,0.3690087703177609,44.84367906689326,13,3.1306428511460287,23.351909399032593,0.06342429515837857,0.48908096008389307,0.4024298527697154,44.17520536553715,13,2.8526930337951963,24.401020526885986,0.07626316091386512,0.014051674057089977,0.028185672166408927,17.556331640477378,4.381780460041329,0.16301356393412794,9.815159361977267,0.006002412564522992,KMeans
2,0.4799518158903238,0.3768396343197168,51.35340391640149,11.2,3.053046262730647,18.23609972000122,0.06833349217807663,"{'cluster_algo': KMeans(init='random', n_clusters=13, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 4, 'reduce_dim': 'passthrough'}",22.0,21.0,4.0,21.0,4.0,3.0,19.0,0.4854673220802272,0.40233506602919883,47.144636526912954,12,3.070547991483027,1.458289384841919,0.07331156826361084,0.4579092639393013,0.3294800374595032,76.6714733476063,5,3.1300515676231178,21.561115503311157,0.06542669298100448,0.48495533526866935,0.3809444450224057,43.932025275057775,13,3.0812958696058677,24.7999529838562,0.0632417435735242,0.4823461980795283,0.3690087703177609,44.84367906689326,13,3.1306428511460287,23.07920002937317,0.06342429515837857,0.48908096008389307,0.4024298527697154,44.17520536553715,13,2.8526930337951963,20.281940698623657,0.07626316091386512,0.012553928179944579,0.030108053885362217,14.21001649939452,3.492849839314596,0.11532217334285289,9.529899070657931,0.006044346295816078,KMeans
3,0.47957859015572923,0.37691994808783397,55.96596536150307,10.0,3.088309564885092,21.223948621749877,0.06797414902227583,"{'cluster_algo': KMeans(init='random', n_clusters=13, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 5, 'reduce_dim': 'passthrough'}",21.0,22.0,9.0,16.0,20.0,11.0,17.0,0.48360119340725416,0.40273663486978467,70.2074437524209,6,3.2468645022552494,16.466960668563843,0.07151485248460682,0.4579092639393013,0.3294800374595032,76.6714733476063,5,3.1300515676231178,21.08344078063965,0.06542669298100448,0.48495533526866935,0.3809444450224057,43.932025275057775,13,3.0812958696058677,24.748548984527588,0.0632417435735242,0.4823461980795283,0.3690087703177609,44.84367906689326,13,3.1306428511460287,23.42428207397461,0.06342429515837857,0.48908096008389307,0.4024298527697154,44.17520536553715,13,2.8526930337951963,20.3965106010437,0.07626316091386512,0.012375430411446528,0.030193480186068763,16.11738778018521,4.123105625617661,0.14511935753629826,3.1858125155347987,0.005719061613225463,KMeans
4,0.4775567077339934,0.3751458576766888,51.05272040115187,11.4,2.998162107642341,24.249230670928956,0.06929413587433073,"{'cluster_algo': KMeans(init='random', n_clusters=13, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 6, 'reduce_dim': 'passthrough'}",18.0,19.0,3.0,23.0,3.0,24.0,24.0,0.47349178129857483,0.3938661828140588,45.64121895066489,13,2.796127216041494,28.723395586013794,0.0781147867448813,0.4579092639393013,0.3294800374595032,76.6714733476063,5,3.1300515676231178,21.16206669807434,0.06542669298100448,0.48495533526866935,0.3809444450224057,43.932025275057775,13,3.0812958696058677,24.417231798171997,0.0632417435735242,0.4823461980795283,0.3690087703177609,44.84367906689326,13,3.1306428511460287,22.933794498443604,0.06342429515837857,0.48908096008389307,0.4024298527697154,44.17520536553715,13,2.8526930337951963,24.00966477394104,0.07626316091386512,0.012379751350309446,0.02851105730260841,14.336679853739748,3.5777087639996643,0.16111839459046196,2.800210777973021,0.007287228363864643,KMeans
5,0.4764085783465949,0.37631874283757893,54.49676539865359,10.2,3.102990129543568,18.64334907531738,0.06672347171925004,"{'cluster_algo': KMeans(init='random', n_clusters=13, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 7, 'reduce_dim': 'passthrough'}",17.0,20.0,7.0,17.5,22.0,4.0,3.0,0.4677511343615825,0.3997306086185094,62.86144393817341,7,3.3202673255476296,1.3049349784851074,0.06526146596947788,0.4579092639393013,0.3294800374595032,76.6714733476063,5,3.1300515676231178,21.425487279891968,0.06542669298100448,0.48495533526866935,0.3809444450224057,43.932025275057775,13,3.0812958696058677,24.35174560546875,0.0632417435735242,0.4823461980795283,0.3690087703177609,44.84367906689326,13,3.1306428511460287,23.535365104675293,0.06342429515837857,0.48908096008389307,0.4024298527697154,44.17520536553715,13,2.8526930337951963,22.599212408065796,0.07626316091386512,0.013096446185581062,0.029574493493844497,14.773421496183692,3.8987177379235853,0.16720171305989806,9.753555285983005,0.005427516989810615,KMeans
6,0.41281571339082657,0.317009272737213,66.98960071337672,9.2,3.109652005883835,20.76812243461609,0.0684964475763556,"{'cluster_algo': KMeans(init='random', n_clusters=13, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 8, 'reduce_dim': 'passthrough'}",1.0,1.0,24.0,1.0,23.0,7.0,20.0,0.14978680958274093,0.10318325811667962,125.32562051178905,2,3.3535767072489646,9.79709529876709,0.07412634525500568,0.4579092639393013,0.3294800374595032,76.6714733476063,5,3.1300515676231178,21.234694242477417,0.06542669298100448,0.48495533526866935,0.3809444450224057,43.932025275057775,13,3.0812958696058677,24.783924341201782,0.0632417435735242,0.4823461980795283,0.3690087703177609,44.84367906689326,13,3.1306428511460287,23.89449119567871,0.06342429515837857,0.48908096008389307,0.4024298527697154,44.17520536553715,13,2.8526930337951963,24.130407094955444,0.07626316091386512,0.1475403620525831,0.12243918286042575,35.494436639351235,5.310367218940701,0.17831713423105774,6.28066338828282,0.00622052291860097,KMeans
7,0.47444459356592017,0.36217619450934696,57.25946437515538,9.8,3.065142736601368,21.551381731033324,0.06675169379649011,"{'cluster_algo': KMeans(init='random', n_clusters=13, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 9, 'reduce_dim': 'passthrough'}",9.5,8.5,16.5,9.0,12.5,17.0,9.5,0.4579312104582089,0.32901786697734947,76.6749388206824,5,3.1310303608366317,16.825506448745728,0.06540257635567819,0.4579092639393013,0.3294800374595032,76.6714733476063,5,3.1300515676231178,21.286669731140137,0.06542669298100448,0.48495533526866935,0.3809444450224057,43.932025275057775,13,3.0812958696058677,24.847408771514893,0.0632417435735242,0.4823461980795283,0.3690087703177609,44.84367906689326,13,3.1306428511460287,23.549363613128662,0.06342429515837857,0.48908096008389307,0.4024298527697154,44.17520536553715,13,2.8526930337951963,21.247960090637207,0.07626316091386512,0.015274514864659404,0.03235661328611374,17.72538385980591,4.381780460041329,0.12066523971885271,3.0558043201116423,0.00541837346487974,KMeans
8,0.47444459356592017,0.36217619450934696,57.25946437515538,9.8,3.065142736601368,21.384992170333863,0.06675169379649011,"{'cluster_algo': KMeans(init='random', n_clusters=13, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 10, 'reduce_dim': 'passthrough'}",9.5,8.5,16.5,9.0,12.5,13.0,9.5,0.4579312104582089,0.32901786697734947,76.6749388206824,5,3.1310303608366317,17.257911205291748,0.06540257635567819,0.4579092639393013,0.3294800374595032,76.6714733476063,5,3.1300515676231178,21.291278839111328,0.06542669298100448,0.48495533526866935,0.3809444450224057,43.932025275057775,13,3.0812958696058677,24.90176820755005,0.0632417435735242,0.4823461980795283,0.3690087703177609,44.84367906689326,13,3.1306428511460287,23.406871795654297,0.06342429515837857,0.48908096008389307,0.4024298527697154,44.17520536553715,13,2.8526930337951963,20.06713080406189,0.07626316091386512,0.015274514864659404,0.03235661328611374,17.72538385980591,4.381780460041329,0.12066523971885271,2.9679137865004557,0.00541837346487974,KMeans
9,0.47444459356592017,0.36217619450934696,57.25946437515538,9.8,3.065142736601368,21.59616346359253,0.06675169379649011,"{'cluster_algo': KMeans(init='random', n_clusters=13, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 11, 'reduce_dim': 'passthrough'}",9.5,8.5,16.5,9.0,12.5,19.0,9.5,0.4579312104582089,0.32901786697734947,76.6749388206824,5,3.1310303608366317,17.129146575927734,0.06540257635567819,0.4579092639393013,0.3294800374595032,76.6714733476063,5,3.1300515676231178,21.27042293548584,0.06542669298100448,0.48495533526866935,0.3809444450224057,43.932025275057775,13,3.0812958696058677,24.923107624053955,0.0632417435735242,0.4823461980795283,0.3690087703177609,44.84367906689326,13,3.1306428511460287,23.353439807891846,0.06342429515837857,0.48908096008389307,0.4024298527697154,44.17520536553715,13,2.8526930337951963,21.30470037460327,0.07626316091386512,0.015274514864659404,0.03235661328611374,17.72538385980591,4.381780460041329,0.12066523971885271,2.928390133487989,0.00541837346487974,KMeans
