,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_silhouette,split1_test_silhouette,split2_test_silhouette,split3_test_silhouette,split4_test_silhouette,split5_test_silhouette,split6_test_silhouette,split7_test_silhouette,split8_test_silhouette,split9_test_silhouette,mean_test_silhouette,std_test_silhouette,rank_test_silhouette,split0_test_calinski_harabasz,split1_test_calinski_harabasz,split2_test_calinski_harabasz,split3_test_calinski_harabasz,split4_test_calinski_harabasz,split5_test_calinski_harabasz,split6_test_calinski_harabasz,split7_test_calinski_harabasz,split8_test_calinski_harabasz,split9_test_calinski_harabasz,mean_test_calinski_harabasz,std_test_calinski_harabasz,rank_test_calinski_harabasz,split0_test_davies_bouldin,split1_test_davies_bouldin,split2_test_davies_bouldin,split3_test_davies_bouldin,split4_test_davies_bouldin,split5_test_davies_bouldin,split6_test_davies_bouldin,split7_test_davies_bouldin,split8_test_davies_bouldin,split9_test_davies_bouldin,mean_test_davies_bouldin,std_test_davies_bouldin,rank_test_davies_bouldin,split0_test_adjusted_rand_index,split1_test_adjusted_rand_index,split2_test_adjusted_rand_index,split3_test_adjusted_rand_index,split4_test_adjusted_rand_index,split5_test_adjusted_rand_index,split6_test_adjusted_rand_index,split7_test_adjusted_rand_index,split8_test_adjusted_rand_index,split9_test_adjusted_rand_index,mean_test_adjusted_rand_index,std_test_adjusted_rand_index,rank_test_adjusted_rand_index,split0_test_adjusted_mutual_info,split1_test_adjusted_mutual_info,split2_test_adjusted_mutual_info,split3_test_adjusted_mutual_info,split4_test_adjusted_mutual_info,split5_test_adjusted_mutual_info,split6_test_adjusted_mutual_info,split7_test_adjusted_mutual_info,split8_test_adjusted_mutual_info,split9_test_adjusted_mutual_info,mean_test_adjusted_mutual_info,std_test_adjusted_mutual_info,rank_test_adjusted_mutual_info,algo_name
0,1.0100493431091309,0.09296109852930398,4.907999587059021,0.5575974218395593,"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 2}",0.08353782194730076,0.0856882254930681,0.08138265767998759,0.08809609499693812,0.08626055505202593,0.08309499229121502,0.08543701046836284,0.0838444635998063,0.08794327144451251,0.08147664924810866,0.08467617422213258,0.0022815586904897595,1,75.88402091645946,75.72062206551827,72.07562759157243,80.10648433013333,76.96607622353461,74.8479469607902,76.45992578159557,75.31053623742494,79.51192448647676,72.38372434801103,75.92668889415167,2.462928237252164,2,3.1313013265417555,3.1134225949979446,3.2097528694360413,2.9910339734214006,3.1016376722895793,3.087951459531037,3.1303964835978193,3.109553295417606,3.0487213502459993,3.175290445860926,3.1099061471340113,0.057930234776028496,10,0.10574313270432682,0.08373174028656657,0.0976547090272867,0.09393998418651621,0.10063240310526797,0.09018262753078675,0.09566104553551438,0.09436864188551639,0.0950370887919189,0.09347728267350117,0.09504286557272018,0.005555429743902175,26,0.1580368553587307,0.12508484205408835,0.14627657591322665,0.14402272543812686,0.1498220886487961,0.14076347019497207,0.13554379871384098,0.14930090515376404,0.1415475407009672,0.14126879730046013,0.1431667599476973,0.008429173950163916,25,KMeans
1,1.5675470352172851,0.4891845367391103,7.667751836776733,2.4009884946724194,"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 3}",0.06887893534937511,0.06773637765233674,0.06683248478003243,0.07496819782151457,0.0626371806440651,0.06582028706342884,0.07072218086016356,0.07021389042191535,0.06853216232703196,0.06900319803115383,0.06853448949510176,0.0030824709074604713,23,56.353879504698895,54.66146744975147,54.91889153119968,59.08351528601731,54.588759972490266,55.428209850517526,58.63817894540282,56.94627345642399,55.28427773293886,56.27306510828855,56.21765188377293,1.5126409229145517,4,3.471507175007902,3.607881503949114,3.174607083635325,3.443427291179313,3.5840166847828363,3.3711900637319663,3.0643917814839194,3.1327515360745815,3.3976479088025564,3.097722705276146,3.3345143733923663,0.1918999960805621,2,0.21297010369115146,0.16978186472408022,0.2026255073447237,0.20115869663791688,0.22477055114943253,0.16468382301732223,0.2051505858499244,0.20702755767103104,0.15789785956747912,0.212072352423644,0.19581389020767057,0.02183900086650146,24,0.2701491072760785,0.2421612952810282,0.3115230037488588,0.2598771899741407,0.28297695991709004,0.2765655929480617,0.30568338290192393,0.3173452194601726,0.23615353608370845,0.3278690033462358,0.2830304290937299,0.030206808506229418,24,KMeans
2,1.3919702529907227,0.35409496044230937,6.850052833557129,1.7387432721784335,"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 4}",0.07775683136863648,0.07124353520459273,0.07080699380770802,0.07385040239493401,0.06088181309221039,0.07285679144029923,0.07712944116096755,0.07064554649430826,0.06286644790050619,0.06873871722668196,0.07067765200908449,0.005173259890960253,19,50.228618966696544,48.406308519095504,46.059511646812325,50.97112290412313,46.02713510988169,48.15151256927301,49.952063313607816,49.11681139851528,43.69889627221353,49.70363331126214,48.23156140114809,2.1809062152364915,6,3.2385633486600427,3.3848474081607702,3.4809569526237807,3.3001291612646497,3.615320279195648,3.335113195785063,3.2730711729626893,3.345868435282579,3.3482223574312053,3.2792572939886666,3.360134960535509,0.10667773482735146,1,0.3686850269036014,0.2855783459051012,0.2614621939912087,0.3407494866978759,0.21911140106942126,0.3232970625649153,0.32410191757624074,0.3730701549879038,0.25580652309842616,0.2962462551816012,0.30481083679762955,0.047762832015578884,22,0.4153088564670222,0.35026584880835343,0.3461489790961193,0.3759103657299151,0.2843886606879357,0.3826170345427683,0.3828149564251577,0.41859498200824025,0.33422761802529155,0.43559295435888457,0.3725870256149688,0.04309929366148302,22,KMeans
3,1.3771534204483031,0.2075848118603349,6.6350243330001835,0.9349541434744622,"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 5}",0.07677303783146,0.07196081944557654,0.07086170679240272,0.07717953806648321,0.05955643251365411,0.07716191941477592,0.0772884198641063,0.07388268493802493,0.06455707934357117,0.06759837249390885,0.07168200107039636,0.005810908549786442,18,45.775539981467745,44.42670225237909,43.0594244799587,47.086774843366555,41.20328104939816,41.3986606909743,45.17763131991818,44.174528022441095,40.466163994915846,40.84845059621732,43.3617157231037,2.1931609448489273,8,3.1419385354227307,3.2010539609039035,3.290951388182562,3.071455767006249,3.4064265867011705,3.0819827186403232,3.1612099761220676,3.133944428315666,3.2317897579255304,3.267334604053805,3.198808772327401,0.09803386436773665,4,0.4073326312811706,0.3708162659121497,0.320472542902337,0.37018929380229487,0.2550552307069342,0.38225081509164466,0.3812710163581541,0.35597745712119017,0.27513101375158344,0.23866216834193416,0.3357158435269393,0.05659431348611875,20,0.47172140816108943,0.43700593520986614,0.4097697145512469,0.423799833212194,0.3531992731868544,0.43882847677490494,0.4504833220812931,0.4393988929067798,0.378145613568251,0.33984022546622666,0.4142192695118706,0.04129045004114088,21,KMeans
4,1.7563881158828736,0.4159992188102833,8.555857062339783,2.152500174727621,"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 6}",0.07783777211542346,0.07724417082008704,0.07451313508639537,0.07293522614336931,0.07170948040662319,0.07731601574905388,0.07449695023573902,0.07493883173179997,0.0770004286635281,0.08186864483766904,0.07598606557896884,0.0027476275952570558,12,38.783195495931054,41.17472765123744,39.78622987914233,42.50391663803212,41.358211524996904,40.82744956080653,41.65003618696995,41.296553077834346,41.33623412983627,41.42100572246689,41.01375598672538,0.9816690879090902,10,3.2298036990184333,3.0117421627447727,3.1851160248456605,3.0745398007869795,3.0441733969562352,3.045761681662684,3.1311454045228704,3.0389999225817292,3.0318050517504087,3.018366547627908,3.081145369249768,0.07144260388759748,13,0.41738296880596404,0.37138334798208794,0.38965499247955315,0.3429963015495927,0.345581609505582,0.3811449858385676,0.3690484871010058,0.34599070857124753,0.4055774042196912,0.4012110836889308,0.37699718897422224,0.025319310219484203,11,0.46112544061816807,0.45019940887078075,0.48353282230252453,0.4149333318316289,0.44317840846973006,0.46206909428834525,0.4385604273087311,0.4464844802403807,0.47659554662576603,0.4860422899994995,0.4562721250555555,0.021038846624616647,18,KMeans
5,1.4587013721466064,0.2749837327093362,7.227218699455261,1.2913145398272012,"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 7}",0.07639484983053524,0.07523175938326732,0.082469105219536,0.0743261444687487,0.07172245551407626,0.06586036512399375,0.07082644196811574,0.06316583549230488,0.07603243311224406,0.08082157979507078,0.07368509699078928,0.005724065010889638,16,37.10651299404012,36.81875755279842,37.180591633431185,37.962533908129195,37.714476359357214,35.20156622936142,36.82939156644179,36.366098407194116,38.23790997978161,37.8398266448287,37.12576652753638,0.8519750808720311,12,3.1519757355984743,3.0228855878499563,3.073366592375859,3.0923042504624454,3.0670996632071277,3.062279766201437,3.2164968337608344,3.027778668537798,2.9210924795605955,2.974278177956149,3.0609557755510677,0.07954792051830066,14,0.3775283640966356,0.3419119957429867,0.42762661046356537,0.3658738251407099,0.3873450979411466,0.3894886733611965,0.35323432978255404,0.3411698784524175,0.3612819635717802,0.4158478938851059,0.3761308632438098,0.027890046453132842,13,0.4493694539594555,0.4214604805873414,0.5123951397997325,0.42127296537767933,0.4698286607169006,0.4893132152105598,0.40997022394898724,0.46682850454813174,0.46312252662341274,0.5096170676448185,0.4613178238417019,0.03435556439924177,16,KMeans
6,1.620922899246216,0.3034146499223766,8.247187972068787,1.4637795408009437,"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 8}",0.06852914520022418,0.07494232395503328,0.06914650289007786,0.07805263623896275,0.0724363123183749,0.077470153161158,0.07697867899580042,0.07878707596268916,0.07630685130962536,0.0782707567307968,0.07509204367627426,0.003587611467640224,14,33.293897585225395,34.40737018382126,32.721233968132026,36.0178535459879,33.616815398333365,33.13856783552895,33.67753910249788,34.887694408313166,35.09068943914059,33.91197723493858,34.07636387019191,0.9639202167791385,14,3.1504657595399346,3.073619808326076,3.09103166186363,2.9880507349752325,3.1861425576498448,3.2146299235049987,3.274566410035882,3.0136630681641865,3.0607280771071244,3.0861272456748385,3.1139025246841747,0.08610793729639266,8,0.4107869995404539,0.3875957983036348,0.4124195227058629,0.39936187043953997,0.3911978073888357,0.43550479275034504,0.4363364552214416,0.41803162793905013,0.3910319771449894,0.45177902033604656,0.41340458717701994,0.020911921543975386,3,0.5007358632436335,0.45072867912518955,0.4571468441356395,0.48060241751795457,0.46677476853897226,0.48334044278959465,0.4800263941728052,0.5025745466237668,0.46338658055198645,0.510813130117525,0.4796129666817068,0.01931074517643284,10,KMeans
7,1.8925248622894286,0.22398338962646105,9.536119294166564,1.2547879344563375,"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 9}",0.07172337553980915,0.07399144364754968,0.07976740506494986,0.07662295972942697,0.07555482840168687,0.07809867253441866,0.07690870279107372,0.07613497454474726,0.07428728735882742,0.07850696285730285,0.07615966124697925,0.00226528427382813,11,32.88788760547049,31.961912206208257,31.78349185645721,32.46729264668354,32.35959990600547,30.78364447414396,30.916438441897743,31.75254314239466,33.03643228141361,32.427225072003445,32.037646763267844,0.7170597622486279,16,3.040775715437303,3.0784167918471,2.974932065481017,3.078885290271605,3.169696418686931,3.2471923147330397,3.14494406968234,3.0852195783553173,3.023666778497962,3.074765412017717,3.091849443501033,0.07390669654966309,12,0.4045638892759582,0.3699256822894144,0.4065025384398112,0.4259051439061456,0.4001037203690612,0.4471891231483396,0.45680683508306147,0.4290964128295866,0.3726611136360892,0.4367002665988034,0.41494547255762704,0.02792802855108466,2,0.5088478210876687,0.4313161131614064,0.4676610797130681,0.48626113784841524,0.4668412925525611,0.4865962074768267,0.4814014198041123,0.51437568835382,0.45389810051351176,0.5189521067699202,0.4816150967281311,0.02639426507114754,7,KMeans
8,1.89251766204834,0.41448768517923495,9.436747550964355,1.9601329936815113,"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 10}",0.07128858148288532,0.0661792839377381,0.07112995142099275,0.07585728164574275,0.065506209881385,0.07443113447465953,0.07522403525314694,0.07843598968204739,0.06675652245026702,0.07769111778552544,0.07225001080143903,0.004573580368844023,17,30.426801608068796,29.137999917259293,29.432736827589725,30.87407053660343,30.00431318587788,28.85514988208786,29.68001250207892,30.220332048504588,29.56786528807141,29.804282552249752,29.800356434839166,0.5743778694389559,18,3.1392405202914326,3.118845954103915,3.0546309915297516,3.0715674951683676,3.231960822523944,3.2505854388932556,3.0958300702302535,3.0639207158995507,3.2718971481141326,3.0418736519897194,3.134035280874432,0.08216676776138188,7,0.40307789142543604,0.35304771914320826,0.4056464157601823,0.39333118417258545,0.36659459272715006,0.4410440284156624,0.40406005111216065,0.4289319477646091,0.34800679075200036,0.42891427327044307,0.39726548945434376,0.030674050688355173,9,0.4982835128050925,0.4203254517938599,0.5020578363130201,0.4680097699598239,0.4861591092563626,0.48343461276060057,0.45943892867572916,0.4935391098138514,0.44861788838329186,0.49620507111553036,0.4756071290877162,0.02497181762385882,14,KMeans
9,1.6676633834838868,0.21169201888211253,8.430784845352173,0.9936350097212435,"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 11}",0.07036073950077491,0.06632923872013179,0.08140283914938692,0.06633866176222004,0.05582009939494772,0.07484227000950555,0.06169381152144098,0.06908909925086118,0.07130173572569475,0.07967464344193098,0.06968531384768947,0.007386998002119368,21,28.466947613602123,27.876880382204106,27.676188558021174,28.72337664190004,26.239729110629636,27.12013861436555,26.627685629396247,27.745918927331772,27.870718967286955,28.158924300550865,27.650650874528843,0.7418464881184896,20,3.13455687336225,2.9975351741408645,2.9996421668635893,3.126810312163062,3.2756023985002156,3.041066683129395,3.201926264362096,3.1086479340472564,3.157996276505881,2.9387500527947013,3.098253413586931,0.09828092479866393,11,0.3807157261543014,0.3427741488247803,0.45000011462591955,0.3624687777985074,0.31623200436357646,0.394306598673633,0.33721905173346284,0.3866435857913857,0.36568048641283013,0.4325553675314064,0.3768595861909803,0.03950634378910561,12,0.5016306965366448,0.43512647415341205,0.5161999243551126,0.4612641975671517,0.45276672053612027,0.4742468947574987,0.4133820629851493,0.4773458904517307,0.4630121408012067,0.5071789617094826,0.4702153963853509,0.030712582716839094,15,KMeans
