,x,y
1916,-5.84484,-2.346023
211,-12.51676,13.857736
2024,9.041699,-43.42887
1009,-15.836694,-0.054745544
1023,30.2509,-6.0554695
1369,-5.5527124,-0.61466056
13,6.324727,-10.7212305
1,7.9142237,2.829766
158,-13.996425,10.232362
2017,9.189724,-44.127617
1810,-5.8355837,-9.365396
1507,-24.572699,3.4199305
672,30.426455,-3.9357
1789,-4.52071,-24.866404
176,-22.330566,-2.6418936
1970,-12.575067,-4.7767715
1000,32.41279,3.9181676
813,36.209766,-1.419446
1648,-17.17408,-0.92873704
747,10.099442,-6.107296
642,17.315535,3.9038522
494,12.077979,-11.65822
1972,-2.6755023,-17.26227
1098,-3.6573176,12.803923
877,-21.187876,11.465416
135,31.061813,4.649859
587,21.84535,11.178232
1547,7.446177,7.9906287
1310,13.185143,6.854462
638,-16.232386,-11.285937
116,24.423052,6.162161
270,-4.786822,11.192609
1311,-5.4114413,7.997281
181,-25.216967,20.321764
2124,8.904605,-39.692047
1250,-1.3678551,7.866547
2068,3.4607408,-37.84581
597,-3.0721414,18.987354
1724,-10.375925,13.695264
739,-17.10772,-0.39164928
1543,11.705626,10.189964
288,30.785757,7.8449144
242,-13.214156,8.107751
2111,7.371505,-39.819008
1822,-10.573288,7.928203
115,-24.180357,4.4085975
979,-26.090656,23.074497
1956,-0.75273407,-20.89514
935,-31.036003,-4.230835
598,22.943333,5.562519
579,10.952775,-2.9039836
1287,-4.7677164,-15.51293
1269,-0.77201134,-7.8331795
2074,9.34421,-44.49916
2034,7.000895,-40.2626
1610,-16.561237,-12.886329
137,30.32242,10.210797
163,-28.621233,2.6466901
341,-15.226341,11.3169365
246,-29.085756,9.539303
1424,-15.541099,10.469408
1849,26.467232,0.7720378
1730,-21.064852,28.25777
424,2.2177153,-6.9091053
458,-14.310143,-1.8454136
449,10.039901,-1.1391838
882,-7.273769,0.5873404
1910,38.018898,4.826283
1140,4.2969494,12.037535
659,15.700709,14.614316
778,9.092139,-2.0777726
647,-24.49779,13.2549715
731,-10.602579,23.108276
1416,-18.760141,11.386285
306,-15.273684,14.181418
1044,-7.5392537,17.86831
855,18.579607,-0.106920324
1904,-2.2975628,-18.088167
118,-18.825443,10.783256
783,16.170116,10.381138
177,-16.278814,14.256753
1753,28.61618,6.892128
2012,15.819323,-41.975945
2081,12.455365,-43.076756
1759,8.090142,9.75223
2105,6.655692,-43.56838
1866,0.83638436,-22.430676
1732,-1.0484957,-14.541692
2104,13.278784,-43.4982
92,-14.572835,6.288343
1618,-19.387285,-5.3633785
1291,-2.5265887,-18.044052
1290,-13.259774,-6.053616
2126,6.9464135,-37.88037
1455,21.866764,4.939589
1042,2.2249608,-5.6073112
235,-21.034302,5.0357184
1292,4.189838,-13.358594
567,-9.390737,-3.1843722
298,16.079353,22.344507
1137,-2.7577295,5.2622457
1239,0.94428855,-8.225772
1370,15.530312,-1.7827404
1504,-25.114187,2.4787958
744,3.2225757,-9.002549
1690,-17.95446,5.064285
346,20.100163,1.6498905
1022,21.91335,5.0072236
1367,-22.135767,-17.593473
786,33.332756,4.894057
1743,-10.176657,20.328682
1599,6.1337123,0.92246544
1490,-10.88629,-0.8813174
1711,-21.794022,8.984281
1984,33.37002,10.628936
1758,-14.980868,3.0175762
1263,-14.670811,-2.0466096
1854,23.999947,-5.092716
47,18.669743,19.661156
1791,3.5529482,-9.759169
740,33.70504,4.3998575
967,1.6192447,12.306776
1386,-1.0511246,-4.3482523
1794,33.421795,-5.550952
1583,16.676104,22.152466
1525,15.322947,-9.890373
516,7.6982727,-5.537276
1621,25.996119,4.16285
1562,20.323471,-20.098124
249,-22.731285,15.251686
1038,7.276999,-21.984716
1804,35.706085,-0.23146802
353,-2.3022172,14.662648
523,7.9983582,-4.2604976
1590,-4.3143992,12.650416
287,30.034937,5.359341
1596,-4.4143395,6.882903
495,17.42458,-8.480713
1584,-25.773727,-5.879464
1055,7.867945,-12.253972
800,28.691816,5.914633
1775,21.27939,5.203196
1710,-17.383505,7.2792244
690,14.358966,-11.738913
61,-19.329975,9.76767
1741,-14.206217,5.3708777
1712,-15.093157,12.720179
329,-8.8828945,18.510794
1757,-24.227262,-12.024457
361,-9.9993925,0.72257143
961,-30.374136,10.511627
1966,9.435354,2.9159968
1907,8.397518,-21.464935
1028,16.105452,22.651865
2005,13.254849,-38.392742
835,-22.126362,19.231
1896,-19.8036,-3.1758747
1639,-16.157616,-6.9780293
1770,9.5441,9.39698
269,-17.302849,11.857704
117,-1.4170052,13.169969
2123,5.995358,-37.678143
524,6.902842,-6.076705
1963,4.4676127,-14.737211
722,-22.68907,7.963201
1332,-2.5019827,-2.3787334
1546,24.938442,0.7122132
221,-17.503212,21.752296
1403,-8.928491,-15.893684
1388,14.920989,12.881758
1104,28.886309,10.157538
1602,5.281867,-7.9575253
1587,-13.371562,-9.893176
1107,-10.423928,-13.535727
343,-11.219546,9.024713
45,12.610659,4.5624766
2076,12.5538025,-38.990974
989,1.9097551,17.35265
1760,24.283129,5.835102
203,-10.267479,15.5123
1123,-3.863083,-10.075
903,18.805258,10.371474
519,5.825405,-4.6850452
584,-11.116897,-20.628809
1396,-12.274672,6.138232
1133,-29.188328,6.888218
842,26.368107,7.3243356
898,-13.486416,2.715139
1465,-21.236967,13.356387
1216,11.698451,2.5114675
87,10.658762,17.663633
1500,35.21795,11.05654
1088,37.439957,3.0209982
1863,38.071617,1.3994694
1283,7.6809816,2.0876045
1978,-15.655384,-4.362019
1484,16.014019,6.28972
72,-3.1159236,19.44986
1902,-13.296282,-2.2277336
1680,29.944578,2.7308362
1827,-6.949092,16.574326
721,1.391779,-5.2834363
543,6.0303807,-6.056381
729,-20.07084,4.6044693
1714,-25.925253,21.046377
1348,20.986023,-2.0940545
1062,-5.5508995,17.573406
1556,20.407215,-20.333359
252,-24.94139,11.749562
1661,7.14269,3.8921392
313,6.7109876,17.456648
1814,14.950548,0.31756628
677,-16.061163,-10.035645
1400,-6.0236535,-1.436579
504,31.225279,-2.2004123
1847,0.52357405,3.9883897
1358,-5.47706,-4.14053
590,-12.807944,-23.07264
1704,-14.977844,5.4361935
334,-9.271933,8.570869
1890,23.102676,2.7578554
1149,16.802458,-4.834357
2047,7.873318,-39.684864
735,2.4719775,6.112263
36,1.7154893,5.5713773
1635,18.136457,-7.429076
1327,4.800607,-18.135586
1323,-26.393946,-9.456049
333,-12.742059,10.115005
1625,-30.62,7.152376
1947,4.2311916,-20.144066
1528,18.551142,-9.52024
861,-25.495388,24.48472
631,-14.201785,-14.738333
1663,22.418058,-1.3175982
1751,-11.5838785,25.231033
1384,-25.63628,4.1705956
1881,2.2726297,-20.844309
96,-7.842245,-22.193956
3,-6.5023,-5.428607
1756,-4.3634033,-8.940124
415,-4.7273,3.4440718
20,0.3854741,8.091877
432,4.153118,-8.893479
1985,-25.078873,3.680747
1229,-10.360135,-4.7834387
419,-5.076276,0.5214045
209,-8.681636,15.423017
1496,-9.040854,4.0003977
1431,-10.251442,12.481343
1122,-2.8763006,-8.56009
1306,-10.590047,-16.995111
1198,-3.4844038,-1.5839285
1257,35.271103,1.7256283
1305,17.237406,20.536488
166,-15.877419,14.3848715
616,3.0747504,-4.849642
673,6.3084188,20.708221
921,-24.186588,19.39732
1354,-1.7858818,-0.60110945
460,4.3176613,-4.961481
943,-12.653831,-13.134376
1011,-2.7419002,20.067677
952,-21.812246,10.943559
753,-1.5807339,3.685836
763,-12.044062,0.63792616
1585,19.583662,-8.484332
1642,31.573298,-0.28246325
167,-16.454807,11.7667055
1401,-6.110262,-7.2654347
816,-12.375589,3.5824833
438,-4.3403473,4.646092
1805,-22.591629,-9.140421
1479,-17.133303,28.821606
150,-21.013376,25.034641
446,7.8761945,-1.825188
302,-8.684957,-14.568167
1029,16.801775,0.48774844
794,-25.469265,23.687475
1662,6.0049887,-20.43824
820,-16.242561,6.464518
1068,-17.02206,-0.28778198
198,5.987198,15.385999
2118,13.297251,-40.052944
772,8.52719,14.5512085
986,28.117752,6.326242
1494,-9.017289,1.9450665
970,-15.653433,12.631234
1473,-17.68377,2.0807047
821,-20.919638,28.990885
1544,-0.53046775,-3.152747
356,33.369846,1.5299149
1236,-1.4984536,6.2469573
578,9.614913,-3.4979818
325,2.963955,9.963245
194,-19.096113,19.988934
322,8.828774,17.164093
484,5.888279,-1.0979767
1975,-3.3530045,-22.257584
1487,-10.30848,2.0628912
1382,27.114487,6.057537
1387,-3.6739726,-9.530346
1826,-10.790127,7.194055
1894,22.306541,0.40778646
922,8.727606,19.4883
829,-24.03513,25.322456
113,-7.8743043,19.353216
383,-22.747005,19.807459
1440,-29.887323,-4.8765125
931,-16.328176,24.26696
1220,18.350075,20.951128
2032,9.9086275,-39.88786
1353,-8.0923815,-1.2449619
601,7.196544,-5.601027
1637,-1.7569306,1.2084959
188,3.0543444,11.661396
197,20.97485,9.434167
1200,-10.502484,-13.5398655
1885,-16.889553,20.955608
1381,-11.206599,-8.101094
536,5.384986,-3.8210158
526,31.319565,-1.9917526
890,-5.998929,10.573008
959,-22.893402,21.70639
95,-29.403725,9.098851
1798,16.504,20.912619
2082,8.081224,-43.06673
1682,0.07598123,15.82145
1047,-9.342246,22.29552
6,2.0203927,4.5879664
1112,-25.499643,-11.431466
946,-21.513527,25.284304
216,34.452843,5.2468414
1185,-21.202452,-1.4588012
513,5.043414,-4.9937196
612,9.775151,11.489305
507,14.503637,-9.262069
1477,-22.385233,18.25192
108,-21.24819,-0.53267276
403,-21.525648,22.596014
575,3.508383,1.5251002
1280,27.481783,4.7800646
7,37.34468,5.433579
128,33.922157,3.5462832
234,-21.867832,-11.924875
897,-30.404842,2.6572142
1946,1.3732882,-20.779825
477,16.484364,-12.476282
767,-12.262861,12.229972
237,-19.92933,21.051945
1361,10.389271,-23.14743
2086,7.7703443,-42.15879
1312,13.855781,6.9766693
1414,-20.897972,1.1929252
102,-2.124179,17.53734
1138,-5.0917964,0.9578625
1960,-2.7348895,-15.902127
1458,-18.290352,-1.5746961
515,5.3059926,-0.6757902
1452,34.346268,5.0465493
985,-22.848753,25.39853
889,-0.9599534,-16.390484
633,18.412558,15.351044
184,-19.255083,16.040396
1924,-2.2491665,-0.5948493
951,-24.555082,16.331158
945,17.546213,-0.8802224
1638,-26.570667,-6.143713
2073,15.139734,-44.574226
259,15.8232765,12.740469
1942,0.17056489,-5.8359976
2016,9.252023,-43.644302
60,30.346722,4.3130956
230,-9.91831,5.955944
91,32.299408,8.069304
223,-20.150568,14.1467905
1480,-7.5552597,4.5318685
1766,7.8391824,11.482583
1249,-3.7437277,-19.962431
1537,-17.971083,18.122377
1715,8.244517,11.468186
1238,-1.9127043,-4.442109
1108,15.011989,8.570249
389,-3.8861778,-7.5285287
371,27.047956,10.523446
483,9.282236,-5.9875445
1444,11.880255,18.763718
201,-25.140245,5.14838
2040,7.697882,-43.644363
1725,-30.701563,2.8171136
1014,-25.758728,8.758973
1449,-24.597723,17.801256
685,-30.904053,6.941407
950,-12.209437,16.695633
1303,14.131697,5.7146964
231,-12.742389,16.036083
662,-16.55622,-9.279842
939,-30.15401,11.501096
714,33.73564,-2.141158
134,-13.6521015,1.3964633
1155,0.4818189,0.21161143
2130,16.604887,-41.358345
303,-26.125973,-3.2071495
2,0.51230896,-14.288372
226,25.235964,7.4548793
976,-8.5729885,-1.1963813
300,-8.490337,19.719156
1549,1.2701645,-15.929821
838,28.675123,5.9324274
852,-23.298494,23.143206
1258,-11.326701,10.255178
1247,14.317681,13.04723
1605,-28.843822,-0.03636992
869,-21.216463,11.132643
1131,-8.398635,14.131803
795,6.9168286,18.287718
1321,-4.2720466,-16.853895
1892,36.72522,-1.6673439
97,6.5121794,7.9965196
2085,9.508126,-41.35955
471,12.839256,-12.4070215
1183,12.684126,17.11604
1089,22.607384,4.767471
1530,6.2502294,-5.224188
18,-9.036118,-5.631094
299,-17.598629,1.21634
1285,-9.838607,-5.632214
131,2.7179132,11.230885
174,-19.713322,3.8140645
1607,9.923178,-16.761074
1190,-4.316984,-1.1192181
1132,29.195255,8.9956
1092,22.568558,4.9392495
1622,-15.149109,-10.872606
1948,-10.584106,-16.971067
964,18.30955,8.282925
283,1.302523,10.108217
1037,36.42371,6.4306808
138,-13.437367,12.32095
547,9.344864,8.768101
41,0.61868846,-12.965578
1101,-17.919458,28.746986
1674,-18.73796,22.862928
626,-28.829561,-2.2237465
2107,5.9130316,-38.50803
1256,-5.2453885,-14.447822
706,21.38794,17.329401
1046,24.420202,8.4838705
390,5.6595564,16.161406
1746,-10.5346,-3.200634
1217,22.960321,2.6192684
606,21.283545,3.876627
1524,7.7574573,-6.928024
1402,-6.1780047,-6.944227
514,29.920265,-0.84343106
148,-29.541466,-3.40588
2041,5.2909627,-40.86044
392,-20.416374,28.73759
386,34.776157,8.314261
1996,-6.718886,-19.197178
2050,8.564998,-38.72296
1093,0.92343885,23.607248
1695,-5.257251,-9.662038
2059,8.764765,-43.412918
2052,9.477179,-38.596252
501,25.445013,13.011204
503,-23.491905,18.416027
82,2.1259706,-14.934491
1560,20.140797,-20.2727
261,-6.0683284,-9.446828
1100,27.187054,10.597939
1235,-4.7322817,-13.803143
1462,10.621783,13.854539
645,17.125778,-11.608001
1731,27.073141,3.0213397
1977,25.371162,-2.0565739
780,0.040653065,15.722551
2106,9.024532,-43.806156
1018,-21.88684,11.908093
452,3.277931,-3.8200693
641,-17.367369,-6.8495092
1234,14.9849,19.034739
1636,14.412365,-11.095137
1010,-20.960361,6.235202
1371,-25.97616,-11.673209
980,-20.854767,11.996715
1933,-0.7607462,-20.479553
925,-20.811178,26.455027
1043,7.750458,-1.1361089
769,15.0681,1.3015485
320,-14.4099655,9.672886
1121,7.832339,-12.217731
1994,15.253055,-42.035015
1812,13.169935,2.728767
1860,-4.6936398,-19.624456
1529,17.584904,-9.076621
1497,-10.81346,2.7128816
1240,-8.2230425,-5.011737
1459,-21.776527,7.119092
1609,17.988928,21.538326
1210,-3.1195664,-4.1053543
2103,10.838817,-38.977005
1561,19.859524,-19.39172
2069,10.634691,-42.151546
133,11.526139,21.417547
630,19.226305,15.53345
2102,11.070185,-38.55214
264,15.939628,21.117483
893,-20.311321,24.16966
49,1.6390339,4.232142
1212,2.368705,-8.347258
1571,20.584673,-19.112629
856,-19.568167,14.604607
911,-13.2732725,21.044653
285,-18.632317,11.98293
1989,11.932502,15.530975
1983,-30.189001,-5.671385
332,-14.426412,16.378105
709,-14.742598,-1.5670666
1245,13.765804,8.901157
948,-18.320751,26.708523
1127,2.4746113,-18.36962
2018,13.585455,-43.674664
1091,-11.665807,-1.2855774
1693,15.024098,11.131267
1901,1.2140828,-24.272768
1516,28.152912,-6.95408
1853,-12.320023,4.919936
1352,-4.8392935,-3.0288856
819,11.386611,19.486967
761,-7.603611,-18.57057
613,35.89778,4.921036
563,24.546322,-0.97664374
758,35.51136,3.4524474
294,-10.517824,14.663056
814,23.36737,4.0300198
542,4.4532065,-5.348288
1074,3.3767507,2.1745753
1350,-6.013482,-2.877048
1619,-5.7258615,-18.238697
1208,-2.9010189,0.5096547
1119,32.46839,-0.76496875
2039,9.238458,-43.27918
373,16.954016,2.5911722
1550,22.177414,2.5407422
1952,-0.8964926,4.3510847
1797,13.80815,13.600961
280,30.919443,5.1037445
544,6.2686467,-18.766489
1536,1.5214007,-5.591948
1958,-0.86722827,-19.89925
1572,-21.049414,20.717913
1420,-19.431713,0.6394377
828,29.271044,6.8905225
1697,-21.043139,-0.78082806
396,34.733894,8.585688
1433,23.51072,6.6568546
1366,0.9407088,-18.147497
2036,16.9579,-41.554424
1472,-29.051752,0.54003334
2129,-16.410774,4.130057
1069,5.5796347,2.4521465
1796,9.729525,-22.676006
1251,-9.278593,-11.569532
805,-14.763774,5.7513733
671,18.27549,-10.3176565
688,12.669359,25.05962
1083,-17.79967,8.204832
1125,5.447726,-16.197163
425,-5.5957217,-18.266993
1993,10.9532995,-41.02725
1406,-6.8937726,-7.211184
1659,5.4728975,-20.32752
981,-26.16718,15.879034
224,-12.168961,21.954205
955,-20.016577,27.697956
1829,21.633253,3.0867848
862,-21.968626,23.506935
1809,8.081064,6.1581216
1199,-2.5368414,-13.531787
296,-16.276793,-17.415148
1317,15.349719,9.860839
1485,-14.869107,16.389635
1526,14.468342,-10.594565
517,8.431612,-3.4101555
1630,26.811049,6.227367
1438,-12.096669,22.141712
607,3.488275,-4.4890356
1410,-6.957304,14.466151
229,-11.644019,12.6848345
328,15.323902,13.744315
940,-30.173285,11.456351
680,23.562088,18.477474
1169,-17.568659,-14.548309
1629,-5.3546195,25.553015
1448,-23.020546,0.6320645
248,-22.382935,2.600102
736,2.142396,-11.935693
192,15.603592,3.419988
1146,-6.8903093,2.7548661
1211,-1.7984302,-5.2505665
27,-8.415835,-10.843333
551,-10.409066,0.3298812
304,31.255556,13.830451
637,-14.543007,-9.868353
1971,1.274314,1.6840562
1314,8.077934,9.690333
1427,34.400986,6.0720453
257,-26.760286,19.217503
1115,21.433386,-1.4612579
872,-25.454872,23.270317
1357,-1.069807,-0.47061658
595,-23.86182,24.366161
1554,19.270472,-19.165905
541,5.193067,-3.6864192
742,-29.633379,-6.262356
2079,12.355535,-39.985584
319,34.6674,4.0291004
615,27.839611,-3.6952434
866,-4.3310213,-23.81263
225,-30.82787,-4.349568
509,14.974434,-10.721761
350,-0.18516159,-4.5441704
