,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_cluster_algo,param_cluster_algo__init,param_cluster_algo__n_clusters,params,split0_test_silhouette,split1_test_silhouette,split2_test_silhouette,split3_test_silhouette,split4_test_silhouette,split5_test_silhouette,split6_test_silhouette,split7_test_silhouette,split8_test_silhouette,split9_test_silhouette,mean_test_silhouette,std_test_silhouette,rank_test_silhouette,split0_test_calinski_harabasz,split1_test_calinski_harabasz,split2_test_calinski_harabasz,split3_test_calinski_harabasz,split4_test_calinski_harabasz,split5_test_calinski_harabasz,split6_test_calinski_harabasz,split7_test_calinski_harabasz,split8_test_calinski_harabasz,split9_test_calinski_harabasz,mean_test_calinski_harabasz,std_test_calinski_harabasz,rank_test_calinski_harabasz,split0_test_davies_bouldin,split1_test_davies_bouldin,split2_test_davies_bouldin,split3_test_davies_bouldin,split4_test_davies_bouldin,split5_test_davies_bouldin,split6_test_davies_bouldin,split7_test_davies_bouldin,split8_test_davies_bouldin,split9_test_davies_bouldin,mean_test_davies_bouldin,std_test_davies_bouldin,rank_test_davies_bouldin,split0_test_adjusted_rand_index,split1_test_adjusted_rand_index,split2_test_adjusted_rand_index,split3_test_adjusted_rand_index,split4_test_adjusted_rand_index,split5_test_adjusted_rand_index,split6_test_adjusted_rand_index,split7_test_adjusted_rand_index,split8_test_adjusted_rand_index,split9_test_adjusted_rand_index,mean_test_adjusted_rand_index,std_test_adjusted_rand_index,rank_test_adjusted_rand_index,split0_test_adjusted_mutual_info,split1_test_adjusted_mutual_info,split2_test_adjusted_mutual_info,split3_test_adjusted_mutual_info,split4_test_adjusted_mutual_info,split5_test_adjusted_mutual_info,split6_test_adjusted_mutual_info,split7_test_adjusted_mutual_info,split8_test_adjusted_mutual_info,split9_test_adjusted_mutual_info,mean_test_adjusted_mutual_info,std_test_adjusted_mutual_info,rank_test_adjusted_mutual_info
0,1.0997430086135864,0.11657184466689935,5.247066187858581,0.5906202614252234,"KMeans(n_clusters=2, n_init='auto', random_state=23)",k-means++,2,"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 2}",0.07393371655280419,0.07281695652040554,0.06948810329602215,0.07522568043814841,0.07380652380846525,0.0691844026973896,0.07671800785987501,0.07063394101794039,0.07461164142447402,0.0704887964291754,0.07269077700446998,0.0024651739739035327,1,64.4813121640836,63.579531212679214,60.98457316509182,67.09595010203924,64.88930188652749,63.082085886153294,64.5919300991821,63.48509927071641,66.67470572029622,61.24333189680996,64.01078214035793,1.8996630431828043,2,3.377847736527259,3.38281856034078,3.442417009019172,3.285553608933497,3.3473983038324167,3.336380211540546,3.3858558207274227,3.365060797010095,3.2882270586448445,3.464931605331961,3.3676490711907996,0.05491976256885538,4,0.10625916644946203,0.08938156534517748,0.1047878706789609,0.09389018966062831,0.10200582322448387,0.09670712681083651,0.09730786837429965,0.09439823166594481,0.09620804330045127,0.09717676399087581,0.09781226495011207,0.004900645668460943,26,0.1621439020411998,0.12579353612958147,0.1583611795921595,0.13643612225529317,0.14966971570736978,0.1501971871461349,0.13682271180892566,0.14539964983936707,0.14042448044006525,0.1477809189847038,0.14530294039448002,0.01028717004678411,26
1,1.5176956176757812,0.5251866260547099,7.249781775474548,2.5662763156399517,"KMeans(n_clusters=2, n_init='auto', random_state=23)",k-means++,3,"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 3}",0.05370640823630686,0.05998524093536123,0.05648528131394809,0.05401082116121395,0.05945908491385646,0.052286116105192355,0.06341205736212739,0.056641296260671256,0.055583852835471036,0.07113722183248106,0.058270738095662966,0.005330940296362696,19,49.863618736385725,49.06311530318627,46.96575299231048,50.39130861164409,49.21558747235836,48.573185350375944,49.9149484388099,48.52045926759911,49.45822174936796,42.62402553096954,48.45902234530074,2.146064058690428,4,3.492002919890048,3.3124909898700636,3.3147741927458916,3.51684596915242,3.3914310563865455,3.553872425975499,3.3004158589467303,3.340315816019556,3.4925269656132456,3.0545271722046237,3.376920336680462,0.14030471895469518,3,0.2043787078444975,0.18674817514889158,0.20163701141658402,0.2069321563397718,0.19905460817735798,0.17391961444072804,0.21381036816239996,0.20769692175145396,0.2062695625898151,0.11810899448277531,0.1918556120354275,0.026941977170452103,24,0.3187418576040223,0.28903315082996506,0.3241731270332372,0.3043160843163804,0.31916360749041317,0.2802202594825823,0.31689682994942675,0.320073102967709,0.30666597776352844,0.21359715604958998,0.2992881153486855,0.03166422409965062,24
2,1.52188138961792,0.24800843068005193,7.28227391242981,1.3073680311105647,"KMeans(n_clusters=2, n_init='auto', random_state=23)",k-means++,4,"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 4}",0.05022521788973707,0.062424118905737604,0.059942136007831694,0.0607837861479195,0.05986217691947725,0.06428314453037931,0.06014908612653424,0.05885642223496362,0.05567234493109208,0.05860883318660176,0.05908072668802742,0.0036598909145503086,16,41.12326100252622,41.09727479917541,43.17253234151116,44.91387167129203,44.18927864799298,40.694118010116014,44.070450550124995,43.62154783006398,44.11870496049528,40.162428238241134,42.71634680515392,1.661251610051921,6,3.345292402030932,3.7458721350092503,3.3980435519522048,3.4101116847814152,3.3730575111133576,3.604957765062744,3.5095881407129244,3.398257499607208,3.3605276558120076,3.2759156878186917,3.4421624033900735,0.13291012333824387,1,0.22538804598386736,0.2305821176365168,0.3128709395427066,0.3667815824852123,0.3085663032546737,0.3170600573673487,0.3127328099964386,0.35504072123538416,0.2828836662946127,0.233240755571007,0.2945146999367768,0.04797513929071003,22,0.3483268273737989,0.3025752276838417,0.43799698842372675,0.4584540722739817,0.43491768314044843,0.3716160119404519,0.4129465754393494,0.4663901004102718,0.3951162529813533,0.36268519172005936,0.3991024931387283,0.05003068864527231,22
3,1.7274489641189574,0.6091840666968351,8.282123732566834,3.0851739321415015,"KMeans(n_clusters=2, n_init='auto', random_state=23)",k-means++,5,"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 5}",0.04685971804486468,0.060058541818630316,0.061311521087450194,0.06383434566096782,0.062045519765182605,0.06544961776348797,0.07186634900469127,0.06289209041763395,0.06155692621428957,0.06629467339112194,0.06221693031683203,0.00604192662831259,12,34.37800565679148,37.2520295158924,38.68351901443959,39.34787877605963,38.09778368523204,38.27885793864287,38.039576445595515,38.514541037205234,39.037605583813715,39.301561647879865,38.09313593015524,1.378399997619465,8,3.0866052486026594,3.498234510900425,3.2495431817011706,3.2172501782867977,3.4494654308810304,3.415588420001254,3.5412082788784445,3.1611711689076967,3.3100882796504103,3.1981554922085644,3.3127310190018457,0.14704979750288596,7,0.2165009121192672,0.3689575710207035,0.32317213255092286,0.37585464416866743,0.3406113401596428,0.3790310014359017,0.3287056408561165,0.3559508649596567,0.3259797283317211,0.37366454833588214,0.33884283839384816,0.045696349210777955,15,0.3589578089182153,0.4581201994010058,0.45355499658952353,0.46817161260989315,0.4178480879521112,0.4512684939660768,0.38677104303474685,0.4809930675306177,0.42212795918996526,0.4967478324873002,0.4394561101679456,0.040671567259327704,20
4,1.4363640069961547,0.23641300494672615,7.185606193542481,1.189870334052012,"KMeans(n_clusters=2, n_init='auto', random_state=23)",k-means++,6,"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 6}",0.060215023485737616,0.06621256300751688,0.05903849278017296,0.06321276490450714,0.059773027565899785,0.06245391726662235,0.060903241290020615,0.06862386257399693,0.061609013865405876,0.06874220236155143,0.06307841091014317,0.00339702069584731,10,35.204899342314306,32.85801480587226,34.49523562784645,36.12621350349549,31.171834261969863,33.93424924526889,35.463444321676306,34.15300793356024,35.02269364952111,34.77306726766455,34.320265995918945,1.3530599518066935,10,3.027428458615633,3.4801232656758185,3.2365368781619117,3.2262086914990107,3.2568314390539146,3.480999202308533,3.3981220785496355,3.3274071816384754,3.228635477692642,3.2296595108383532,3.2891952184033926,0.13041815029166576,10,0.33249132394513703,0.33830332609832015,0.34505843034085815,0.36651695871429235,0.34492786996359764,0.39086346002201555,0.3404925706168123,0.42291731027245094,0.3682746830026219,0.43304581771821116,0.36828917506943176,0.03424777628470763,9,0.4750623368660524,0.40321068181132136,0.4502353700905553,0.45294364331570947,0.42320415764555885,0.45387652860026595,0.415889254878897,0.5153026196652024,0.45155947542694064,0.5201956517135539,0.4561479720014058,0.03679536255552231,15
5,1.4110464572906494,0.2730172622469677,7.084267544746399,1.2989941813235844,"KMeans(n_clusters=2, n_init='auto', random_state=23)",k-means++,7,"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 7}",0.06742820486120182,0.06421932102702067,0.06099654587769382,0.0575313552338152,0.0606637278439808,0.054890012006291684,0.06151068227456566,0.06800862370184291,0.06394621060511524,0.06940535723504643,0.06286000406665741,0.00441902732263471,11,32.85341004070444,31.67201345408719,31.244329809341767,32.238842997012284,29.445514895205942,31.2272771183264,29.899777019436506,32.02387998008692,32.09515019017098,32.85150477215106,31.555170027652355,1.0841284888266856,12,2.8804960561947857,3.3138479267595007,3.37063121405279,3.3332076412382317,3.12723485932375,3.267160449209342,3.011676700325168,3.302755166709571,3.148516513247088,3.216481012037589,3.1972007539097818,0.14851828302561015,13,0.3714856568257728,0.401615404064509,0.40289669168867526,0.3303972025368595,0.34990130527149954,0.37108845043661076,0.35736456227577784,0.4191565384397923,0.3610485295140454,0.4118525233331571,0.3776806864386699,0.028062982280687834,7,0.5268896107504548,0.4633564094936859,0.4841397298748784,0.400814602742869,0.41714840224561045,0.4399863107858779,0.4240412619700091,0.4913061967452949,0.4364939337527862,0.5190406610502813,0.4603217119411749,0.04137431464244808,11
6,1.427961826324463,0.2830942647697344,7.203250408172607,1.4025946446959947,"KMeans(n_clusters=2, n_init='auto', random_state=23)",k-means++,8,"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 8}",0.07305212547316309,0.07428341471798246,0.06079454528250715,0.07203514266120925,0.04563354149078991,0.05560598211330377,0.04592285011269496,0.06819818295718186,0.04307650129713104,0.050539919425912516,0.0589142205531876,0.011726199363955301,17,30.69701544958151,29.892618298401775,28.64487120397345,31.027630719356345,27.82957930189273,27.87504574765896,27.729603569763313,29.595828873879004,28.477471943823833,29.20615180789455,29.097581691622548,1.128657155557843,14,2.8728419820874045,3.156191478140089,3.0172254397022877,2.8911222293463403,3.357146379136613,3.303611196928047,3.5222069017717677,3.3403053098817383,3.306833374567095,3.372954866010116,3.21404391575715,0.20881837668247955,11,0.4033860530567243,0.36755504810486517,0.3474729893362557,0.34715562910281483,0.2741950700476751,0.34262922768685344,0.2976144178356332,0.4207482275970686,0.3539325651645479,0.40015487360630364,0.3554844101538742,0.0435352639683152,11,0.5051744356514895,0.44560907198235666,0.48680672262374264,0.4294020862107929,0.3920476376580304,0.4136787364122592,0.39207377754458306,0.47980489791612263,0.43844934954311676,0.5124664622244767,0.449551317776697,0.042187036432889215,18
7,1.4794205188751222,0.24002418487647348,7.4036194562911986,1.109501893337147,"KMeans(n_clusters=2, n_init='auto', random_state=23)",k-means++,9,"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 9}",0.06967412065441898,0.055129201678737534,0.06525555421234382,0.07317287700834202,0.05335715857904168,0.058729744823087876,0.05225948514781855,0.052526787980243954,0.0373502993485072,0.0507638417107719,0.05682190711433135,0.009885732140577818,20,28.317887464720176,27.300078781301494,27.611125895719272,28.71609735780182,27.28619273789241,26.808429001280338,26.837055309026873,27.17655896039156,26.984950702036635,27.90544651143216,27.494382272160273,0.6080781999283501,16,2.983358489283832,3.2493784427640153,3.027155605974661,2.929860291499941,3.2803659948486805,3.225000923586684,3.303736556953239,3.329397255917513,3.2669239743883765,3.297357500118908,3.1892535035335854,0.14128464641979993,14,0.4116184167497668,0.3231918346799896,0.3859409043281133,0.35426295810844616,0.29924970342783813,0.36093086008207914,0.32056903884125704,0.3690816861522394,0.29376868130528905,0.39365184312347895,0.35122659267984974,0.03847492204796086,12,0.48603472451939683,0.43961652374500265,0.527122936721086,0.4237758818149506,0.4218781122290855,0.42136913314099844,0.41771973052883316,0.49508567311288193,0.4130110767678148,0.5204193224827323,0.45660331150627814,0.043148922016406896,13
8,1.5514415979385376,0.19550032352696115,7.702341532707214,0.9289040582077096,"KMeans(n_clusters=2, n_init='auto', random_state=23)",k-means++,10,"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 10}",0.06479401059464371,0.05324126815199151,0.06267986692156545,0.07861897327076445,0.0538095927118065,0.04751340046863278,0.05539653158994406,0.05126362184840152,0.04580423269545697,0.0347237079822707,0.05478452062354777,0.011325466335998815,24,26.111593866380055,26.07773947871654,25.18067917985692,27.555924271986378,25.787731041649735,24.38202708591077,25.621571964751205,25.297256370258534,25.936850745048833,25.640263266943826,25.75916372715028,0.7722701376306336,18,3.025309411950091,3.1331240106836242,3.141593574115581,2.8719403801299324,3.012602345217439,3.3234074361569634,3.2177034625816616,3.404107701912735,3.1555067955871996,3.381990524820921,3.1667285643156147,0.1619798071356369,15,0.37084817170396345,0.29606895529843746,0.3366224542797366,0.3863319835534668,0.2945856408678679,0.312203608798016,0.337178190419416,0.36052772525566495,0.28064541609358196,0.3517680279427127,0.33267801742128644,0.03380739448314653,20,0.4744882469739065,0.42147692711354845,0.45850106633788107,0.47041575082318243,0.4217829171807613,0.4288857982468314,0.4405221818710218,0.47381684928217427,0.4179780927934638,0.5170580626224638,0.4524925893245236,0.030432633554177135,17
9,1.592968487739563,0.3529566215941837,7.8920704364776615,1.6817793850599492,"KMeans(n_clusters=2, n_init='auto', random_state=23)",k-means++,11,"{'cluster_algo': KMeans(n_clusters=2, n_init='auto', random_state=23), 'cluster_algo__init': 'k-means++', 'cluster_algo__n_clusters': 11}",0.064841678096977,0.05491326494601334,0.06442174934819313,0.07473854593011554,0.0581870571938477,0.04196469353872125,0.06287468469622208,0.05022536239882553,0.04604853533028561,0.03707348840187087,0.05552890598810721,0.011130234502029986,22,24.200736591618604,24.831219455717044,24.901658394192147,26.553593201192715,24.535826095836416,22.77232712293004,25.06767900740361,23.450502149712143,23.612920284771608,24.324259347645146,24.425072165101945,0.9873872129614526,20,2.921732982236125,3.1801091233886685,2.9854708347894543,2.8421633018738035,3.1024859465956123,3.4097328275855006,3.121972398243406,3.4773856319632093,2.9330455817277863,3.324908355222291,3.1299006983625857,0.20643488759705805,16,0.3616456231388743,0.27988164282202227,0.34352930408742777,0.37100649398831653,0.3172054562844672,0.3072380048737169,0.3798262496326603,0.3640158715831898,0.2800643205297046,0.3569343539790948,0.33613473209194744,0.03541482088256322,17,0.46563229136305295,0.40153134977132265,0.4680118421596712,0.4476063330380558,0.449129797460661,0.42169215848945907,0.48295854019584267,0.4631040876884435,0.41761031075325233,0.5115769755635677,0.45288536864833284,0.031211168968625483,16
